entity_id,entity_type,name,image_url
1,studio,Bandai Namco Pictures,
2,producer,TV Tokyo,
3,producer,Aniplex,
4,producer,Dentsu,
5,licensor,Funimation,
6,licensor,Crunchyroll,
7,character,"Sakata, Gintoki",https://cdn.myanimelist.net/images/characters/15/241479.jpg
8,voice_actor,"Sugita, Tomokazu",https://cdn.myanimelist.net/images/voiceactors/1/81054.jpg
9,character,,
10,character,Kagura,https://cdn.myanimelist.net/images/characters/2/505912.jpg
11,voice_actor,"Kugimiya, Rie",https://cdn.myanimelist.net/images/voiceactors/3/63374.jpg
12,character,"Shimura, Shinpachi",https://cdn.myanimelist.net/images/characters/14/114081.jpg
13,voice_actor,"Sakaguchi, Daisuke",https://cdn.myanimelist.net/images/voiceactors/3/87084.jpg
14,character,"Katsura, Kotarou",https://cdn.myanimelist.net/images/characters/11/30271.jpg
15,voice_actor,"Ishida, Akira",https://cdn.myanimelist.net/images/voiceactors/3/62624.jpg
16,character,"Hijikata, Toushirou",https://cdn.myanimelist.net/images/characters/7/73155.jpg
17,voice_actor,"Nakai, Kazuya",https://cdn.myanimelist.net/images/voiceactors/1/62866.jpg
18,character,"Okita, Sougo",https://cdn.myanimelist.net/images/characters/6/112926.jpg
19,voice_actor,"Suzumura, Kenichi",https://cdn.myanimelist.net/images/voiceactors/1/79443.jpg
20,character,"Takasugi, Shinsuke",https://cdn.myanimelist.net/images/characters/13/303201.jpg
21,voice_actor,"Koyasu, Takehito",https://cdn.myanimelist.net/images/voiceactors/1/63375.jpg
22,character,"Hasegawa, Taizou",https://cdn.myanimelist.net/images/characters/5/115541.jpg
23,voice_actor,"Tachiki, Fumihiko",https://cdn.myanimelist.net/images/voiceactors/1/44589.jpg
24,character,Tsukuyo,https://cdn.myanimelist.net/images/characters/12/115534.jpg
25,voice_actor,"Kaida, Yuuko",https://cdn.myanimelist.net/images/voiceactors/3/74397.jpg
26,character,Kamui,https://cdn.myanimelist.net/images/characters/2/261111.jpg
27,voice_actor,"Hino, Satoshi",https://cdn.myanimelist.net/images/voiceactors/2/62832.jpg
28,staff,"Saitou, Tomoyuki",
29,staff,"Miyawaki, Chizuru",
30,staff,"Takamatsu, Shinji",
31,staff,"Yoshimura, Ai",
32,studio,MAPPA,
33,producer,None found,
34,producer,add some,
35,licensor,None found,
36,licensor,add some,
37,character,Denji,https://cdn.myanimelist.net/images/characters/3/492407.jpg
38,voice_actor,"Toya, Kikunosuke",https://cdn.myanimelist.net/images/voiceactors/1/72408.jpg
39,character,Reze,https://cdn.myanimelist.net/images/characters/14/412779.jpg
40,voice_actor,"Ueda, Reina",https://cdn.myanimelist.net/images/voiceactors/3/86544.jpg
41,character,Power,https://cdn.myanimelist.net/images/characters/7/494969.jpg
42,voice_actor,Fairouz Ai,https://cdn.myanimelist.net/images/voiceactors/2/76160.jpg
43,character,Makima,https://cdn.myanimelist.net/images/characters/4/489561.jpg
44,voice_actor,"Kusunoki, Tomori",https://cdn.myanimelist.net/images/voiceactors/2/74544.jpg
45,character,"Hayakawa, Aki",https://cdn.myanimelist.net/images/characters/13/395003.jpg
46,voice_actor,"Sakata, Shougo",https://cdn.myanimelist.net/images/voiceactors/2/62094.jpg
47,character,"Higashiyama, Kobeni",https://cdn.myanimelist.net/images/characters/3/467961.jpg
48,voice_actor,"Takahashi, Karin",https://cdn.myanimelist.net/images/voiceactors/3/76226.jpg
49,character,Pochita,https://cdn.myanimelist.net/images/characters/7/391655.jpg
50,voice_actor,"Izawa, Shiori",https://cdn.myanimelist.net/images/voiceactors/3/78262.jpg
51,character,Angel Devil,https://cdn.myanimelist.net/images/characters/13/586726.jpg
52,voice_actor,"Uchida, Maaya",https://cdn.myanimelist.net/images/voiceactors/1/85234.jpg
53,character,Kishibe,https://cdn.myanimelist.net/images/characters/3/488553.jpg
54,voice_actor,"Tsuda, Kenjirou",https://cdn.myanimelist.net/images/voiceactors/2/63379.jpg
55,character,Beam,https://cdn.myanimelist.net/images/characters/9/467960.jpg
56,voice_actor,"Hanae, Natsuki",https://cdn.myanimelist.net/images/voiceactors/3/85088.jpg
57,staff,"Seshimo, Keisuke",
58,staff,"Tannawa, Yuusuke",
59,staff,"Nakai, Yuusuke",
60,staff,"Yamada, Hayato",
61,studio,Madhouse,
62,producer,VAP,
63,producer,Nippon Television Network,
64,producer,Shueisha,
65,licensor,VIZ Media,
66,character,"Zoldyck, Killua",https://cdn.myanimelist.net/images/characters/2/327920.jpg
67,voice_actor,"Ise, Mariya",https://cdn.myanimelist.net/images/voiceactors/2/65504.jpg
68,character,Kurapika,https://cdn.myanimelist.net/images/characters/3/549312.jpg
69,voice_actor,"Sawashiro, Miyuki",https://cdn.myanimelist.net/images/voiceactors/2/65500.jpg
70,character,"Freecss, Gon",https://cdn.myanimelist.net/images/characters/11/174517.jpg
71,voice_actor,"Han, Megumi",https://cdn.myanimelist.net/images/voiceactors/2/72566.jpg
72,character,"Paladiknight, Leorio",https://cdn.myanimelist.net/images/characters/11/549311.jpg
73,voice_actor,"Fujiwara, Keiji",https://cdn.myanimelist.net/images/voiceactors/3/57226.jpg
74,character,"Morow, Hisoka",https://cdn.myanimelist.net/images/characters/3/174561.jpg
75,voice_actor,"Namikawa, Daisuke",https://cdn.myanimelist.net/images/voiceactors/2/87158.jpg
76,character,Meruem,https://cdn.myanimelist.net/images/characters/6/243861.jpg
77,voice_actor,"Uchiyama, Kouki",https://cdn.myanimelist.net/images/voiceactors/1/63405.jpg
78,character,"Lucilfer, Chrollo",https://cdn.myanimelist.net/images/characters/4/182387.jpg
79,voice_actor,"Miyano, Mamoru",https://cdn.myanimelist.net/images/voiceactors/1/66414.jpg
80,character,"Netero, Isaac",https://cdn.myanimelist.net/images/characters/7/257355.jpg
81,voice_actor,"Ginga, Banjou",https://cdn.myanimelist.net/images/voiceactors/1/44678.jpg
82,character,Neferpitou,https://cdn.myanimelist.net/images/characters/12/253673.jpg
83,voice_actor,"Fujimura, Ayumi",https://cdn.myanimelist.net/images/voiceactors/3/36295.jpg
84,character,"Portor, Feitan",https://cdn.myanimelist.net/images/characters/10/174721.jpg
85,voice_actor,"Yamaguchi, Kappei",https://cdn.myanimelist.net/images/voiceactors/2/74474.jpg
86,staff,"Maruyama, Masao",
87,staff,"Tamura, Manabu",
88,staff,"Nakatani, Toshio",
89,staff,"Shinohara, Akira",
90,producer,Shogakukan-Shueisha Productions,
91,producer,TOHO animation,
92,producer,Shogakukan,
93,character,Frieren,https://cdn.myanimelist.net/images/characters/7/525105.jpg
94,voice_actor,"Tanezaki, Atsumi",https://cdn.myanimelist.net/images/voiceactors/3/77190.jpg
95,character,Fern,https://cdn.myanimelist.net/images/characters/13/519083.jpg
96,voice_actor,"Ichinose, Kana",https://cdn.myanimelist.net/images/voiceactors/3/86543.jpg
97,character,Stark,https://cdn.myanimelist.net/images/characters/2/523292.jpg
98,voice_actor,"Kobayashi, Chiaki",https://cdn.myanimelist.net/images/voiceactors/2/66505.jpg
99,character,Himmel,https://cdn.myanimelist.net/images/characters/9/523295.jpg
100,voice_actor,"Okamoto, Nobuhiko",https://cdn.myanimelist.net/images/voiceactors/2/48785.jpg
101,character,Übel,https://cdn.myanimelist.net/images/characters/9/543072.jpg
102,voice_actor,"Hasegawa, Ikumi",https://cdn.myanimelist.net/images/voiceactors/1/81473.jpg
103,character,Eisen,https://cdn.myanimelist.net/images/characters/13/523293.jpg
104,voice_actor,"Ueda, Youji",https://cdn.myanimelist.net/images/voiceactors/1/56371.jpg
105,character,Flamme,https://cdn.myanimelist.net/images/characters/10/528177.jpg
106,voice_actor,"Tanaka, Atsuko",https://cdn.myanimelist.net/images/voiceactors/2/63410.jpg
107,character,Heiter,https://cdn.myanimelist.net/images/characters/16/523294.jpg
108,voice_actor,"Touchi, Hiroki",https://cdn.myanimelist.net/images/voiceactors/3/85225.jpg
109,character,Sein,https://cdn.myanimelist.net/images/characters/12/529669.jpg
110,voice_actor,"Nakamura, Yuuichi",https://cdn.myanimelist.net/images/voiceactors/1/86727.jpg
111,character,Denken,https://cdn.myanimelist.net/images/characters/6/538686.jpg
112,voice_actor,"Saitou, Jirou",https://cdn.myanimelist.net/images/voiceactors/3/54843.jpg
113,staff,"Fukushi, Yuuichirou",
114,staff,"Taguchi, Shouichirou",
115,staff,"Aoki, Haruka",
116,staff,"Itou, Yuukou",
117,studio,Sunrise,
118,producer,Trinity Sound,
119,producer,Miracle Robo,
120,staff,"Azuma, Fukashi",
121,staff,"Higuchi, Hiromitsu",
122,staff,"Fujita, Youichi",
123,staff,"Kobayashi, Katsuyoshi",
124,producer,Miracle Bus,
125,character,Elizabeth,https://cdn.myanimelist.net/images/characters/12/43474.jpg
126,staff,"Saga, Hayato",
127,producer,Bandai,
128,producer,Warner Bros. Japan,
129,licensor,Eleven Arts,
130,staff,"Sanjouba, Kazumasa",
131,staff,"Ishikawa, Mariko",
132,studio,Wit Studio,
133,producer,Production I.G,
134,producer,Mainichi Broadcasting System,
135,producer,Pony Canyon,
136,producer,Kodansha,
137,producer,Techno Sound,
138,producer,Pony Canyon Enterprises,
139,character,Levi,https://cdn.myanimelist.net/images/characters/2/241413.jpg
140,voice_actor,"Kamiya, Hiroshi",https://cdn.myanimelist.net/images/voiceactors/1/66163.jpg
141,character,"Yeager, Eren",https://cdn.myanimelist.net/images/characters/10/216895.jpg
142,voice_actor,"Kaji, Yuuki",https://cdn.myanimelist.net/images/voiceactors/2/66416.jpg
143,character,"Ackerman, Mikasa",https://cdn.myanimelist.net/images/characters/9/215563.jpg
144,voice_actor,"Ishikawa, Yui",https://cdn.myanimelist.net/images/voiceactors/2/69967.jpg
145,character,"Arlert, Armin",https://cdn.myanimelist.net/images/characters/8/220267.jpg
146,voice_actor,"Inoue, Marina",https://cdn.myanimelist.net/images/voiceactors/1/68016.jpg
147,character,"Smith, Erwin",https://cdn.myanimelist.net/images/characters/14/559023.jpg
148,voice_actor,"Ono, Daisuke",https://cdn.myanimelist.net/images/voiceactors/1/54593.jpg
149,character,"Zoë, Hange",https://cdn.myanimelist.net/images/characters/15/208637.jpg
150,voice_actor,"Park, Romi",https://cdn.myanimelist.net/images/voiceactors/1/54602.jpg
151,character,"Blouse, Sasha",https://cdn.myanimelist.net/images/characters/6/251937.jpg
152,voice_actor,"Kobayashi, Yuu",https://cdn.myanimelist.net/images/voiceactors/1/54674.jpg
153,character,"Braun, Reiner",https://cdn.myanimelist.net/images/characters/16/206489.jpg
154,voice_actor,"Hosoya, Yoshimasa",https://cdn.myanimelist.net/images/voiceactors/1/84432.jpg
155,character,"Kirstein, Jean",https://cdn.myanimelist.net/images/characters/14/216893.jpg
156,voice_actor,"Taniyama, Kishou",https://cdn.myanimelist.net/images/voiceactors/3/68788.jpg
157,character,"Leonhart, Annie",https://cdn.myanimelist.net/images/characters/9/206357.jpg
158,voice_actor,"Shimamura, Yuu",https://cdn.myanimelist.net/images/voiceactors/2/33789.jpg
159,staff,"Cook, Justin",
160,staff,"Wada, George",
161,staff,"Maeda, Toshihiro",
162,staff,"Nakatake, Tetsuya",
163,character,"Imai, Nobume",https://cdn.myanimelist.net/images/characters/15/321324.jpg
164,voice_actor,"Hirano, Aya",https://cdn.myanimelist.net/images/voiceactors/3/78608.jpg
165,character,"Sakamoto, Tatsuma",https://cdn.myanimelist.net/images/characters/7/112383.jpg
166,voice_actor,"Miki, Shinichiro",https://cdn.myanimelist.net/images/voiceactors/2/70845.jpg
167,character,Sadaharu,https://cdn.myanimelist.net/images/characters/9/43475.jpg
168,voice_actor,"Takahashi, Mikako",https://cdn.myanimelist.net/images/voiceactors/1/54655.jpg
169,studio,Studio Pierrot,
170,character,"Kurosaki, Ichigo",https://cdn.myanimelist.net/images/characters/3/512788.jpg
171,voice_actor,"Morita, Masakazu",https://cdn.myanimelist.net/images/voiceactors/1/65561.jpg
172,character,"Ishida, Uryuu",https://cdn.myanimelist.net/images/characters/16/139189.jpg
173,voice_actor,"Sugiyama, Noriaki",https://cdn.myanimelist.net/images/voiceactors/3/73289.jpg
174,character,"Zaraki, Kenpachi",https://cdn.myanimelist.net/images/characters/8/150265.jpg
175,character,"Urahara, Kisuke",https://cdn.myanimelist.net/images/characters/15/149491.jpg
176,character,"Aizen, Sousuke",https://cdn.myanimelist.net/images/characters/16/73909.jpg
177,voice_actor,"Hayami, Show",https://cdn.myanimelist.net/images/voiceactors/1/62796.jpg
178,character,"Kuchiki, Rukia",https://cdn.myanimelist.net/images/characters/2/78215.jpg
179,voice_actor,"Orikasa, Fumiko",https://cdn.myanimelist.net/images/voiceactors/3/75768.jpg
180,character,"Hitsugaya, Toushirou",https://cdn.myanimelist.net/images/characters/11/36579.jpg
181,character,"Kuchiki, Byakuya",https://cdn.myanimelist.net/images/characters/7/100098.jpg
182,voice_actor,"Okiayu, Ryoutarou",https://cdn.myanimelist.net/images/voiceactors/3/80436.jpg
183,character,"Jaegerjaquez, Grimmjow",https://cdn.myanimelist.net/images/characters/10/529459.jpg
184,voice_actor,"Suwabe, Junichi",https://cdn.myanimelist.net/images/voiceactors/3/66059.jpg
185,character,"Kyouraku, Shunsui Jirou Sakuranosuke",https://cdn.myanimelist.net/images/characters/14/33242.jpg
186,voice_actor,"Ootsuka, Akio",https://cdn.myanimelist.net/images/voiceactors/1/58117.jpg
187,staff,"Negishi, Genki",
188,staff,"Tominaga, Yoshihiko",
189,staff,"Hijikata, Makoto",
190,staff,"Honda, Tasuku",
191,studio,Bones,
192,producer,Square Enix,
193,licensor,Aniplex of America,
194,character,"Elric, Edward",https://cdn.myanimelist.net/images/characters/9/72533.jpg
195,character,"Elric, Alphonse",https://cdn.myanimelist.net/images/characters/5/54265.jpg
196,character,"Mustang, Roy",https://cdn.myanimelist.net/images/characters/11/510227.jpg
197,character,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/13/73469.jpg
198,character,Greed,https://cdn.myanimelist.net/images/characters/10/78721.jpg
199,character,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/3/451785.jpg
200,character,"Yao, Ling",https://cdn.myanimelist.net/images/characters/15/62602.jpg
201,character,"Rockbell, Winry",https://cdn.myanimelist.net/images/characters/15/84336.jpg
202,voice_actor,"Takamoto, Megumi",https://cdn.myanimelist.net/images/voiceactors/3/11773.jpg
203,character,"Armstrong, Alex Louis",https://cdn.myanimelist.net/images/characters/2/71066.jpg
204,voice_actor,"Utsumi, Kenji",https://cdn.myanimelist.net/images/voiceactors/3/49809.jpg
205,character,"Armstrong, Olivier Mira",https://cdn.myanimelist.net/images/characters/7/83953.jpg
206,voice_actor,"Soumi, Youko",https://cdn.myanimelist.net/images/voiceactors/2/36427.jpg
207,staff,"Maruyama, Hiroo",
208,staff,"Yonai, Noritomo",
209,staff,"Kurashige, Nobuyuki",
210,studio,A-1 Pictures,
211,producer,Magic Capsule,
212,producer,JR East Marketing & Communications,
